Date,USDEUR
1/11/2001,1.0505
1/12/2001,1.0512
1/15/2001,1.0616
1/16/2001,1.0608
1/17/2001,1.0686
1/18/2001,1.0604
1/19/2001,1.0704
1/22/2001,1.0653
1/23/2001,1.0686
1/24/2001,1.0827
1/25/2001,1.0818
1/26/2001,1.0818
1/29/2001,1.0903
1/30/2001,1.079
1/31/2001,1.0677
2/1/2001,1.0652
2/2/2001,1.0679
2/5/2001,1.0667
2/6/2001,1.0741
2/7/2001,1.077
2/8/2001,1.0899
2/9/2001,1.082
2/12/2001,1.0727
2/13/2001,1.086
2/14/2001,1.0893
2/15/2001,1.1046
2/16/2001,1.0929
2/19/2001,1.0853
2/20/2001,1.0972
2/21/2001,1.0988
2/22/2001,1.1064
2/23/2001,1.0898
2/26/2001,1.0977
2/27/2001,1.0898
2/28/2001,1.0827
3/1/2001,1.0748
3/2/2001,1.0686
3/5/2001,1.0769
3/6/2001,1.071
3/7/2001,1.0758
3/8/2001,1.0718
3/9/2001,1.072
3/12/2001,1.0763
3/13/2001,1.0927
3/14/2001,1.0972
3/15/2001,1.1143
3/16/2001,1.1138
3/19/2001,1.1112
3/20/2001,1.0996
3/21/2001,1.1154
3/22/2001,1.1246
3/23/2001,1.1237
3/26/2001,1.1154
3/27/2001,1.1188
3/28/2001,1.1279
3/29/2001,1.1337
3/30/2001,1.1406
4/2/2001,1.1374
4/3/2001,1.1141
4/4/2001,1.1098
4/5/2001,1.1151
4/6/2001,1.106
4/9/2001,1.1152
4/10/2001,1.1251
4/11/2001,1.1263
4/12/2001,1.1203
4/13/2001,1.1259
4/16/2001,1.1247
4/17/2001,1.1319
4/18/2001,1.1319
4/19/2001,1.1142
4/20/2001,1.1084
4/23/2001,1.1158
4/24/2001,1.1183
4/25/2001,1.1142
4/26/2001,1.1069
4/27/2001,1.1213
4/30/2001,1.1247
5/1/2001,1.1202
5/2/2001,1.1187
5/3/2001,1.1237
5/4/2001,1.1204
5/7/2001,1.1232
5/8/2001,1.1299
5/9/2001,1.1283
5/10/2001,1.1346
5/11/2001,1.1425
5/14/2001,1.144
5/15/2001,1.1383
5/16/2001,1.1325
5/17/2001,1.1328
5/18/2001,1.1346
5/21/2001,1.1405
5/22/2001,1.1555
5/23/2001,1.1671
5/24/2001,1.1674
5/25/2001,1.1613
5/28/2001,1.1624
5/29/2001,1.1689
5/30/2001,1.1671
5/31/2001,1.183
6/1/2001,1.1799
6/4/2001,1.1825
6/5/2001,1.171
6/6/2001,1.1795
6/7/2001,1.1752
6/8/2001,1.1758
6/11/2001,1.1871
6/12/2001,1.1716
6/13/2001,1.1692
6/14/2001,1.1596
6/15/2001,1.1614
6/18/2001,1.1617
6/19/2001,1.171
6/20/2001,1.17
6/21/2001,1.1701
6/22/2001,1.166
6/25/2001,1.164
6/26/2001,1.1581
6/27/2001,1.1632
6/28/2001,1.1846
6/29/2001,1.1779
7/2/2001,1.1795
7/3/2001,1.1787
7/4/2001,1.1816
7/5/2001,1.1956
7/6/2001,1.1798
7/9/2001,1.1765
7/10/2001,1.1696
7/11/2001,1.1644
7/12/2001,1.1715
7/13/2001,1.17
7/16/2001,1.1734
7/17/2001,1.1635
7/18/2001,1.1448
7/19/2001,1.1484
7/20/2001,1.148
7/23/2001,1.1507
7/24/2001,1.1443
7/25/2001,1.1347
7/26/2001,1.1393
7/27/2001,1.1397
7/30/2001,1.1439
7/31/2001,1.141
8/1/2001,1.1351
8/2/2001,1.1317
8/3/2001,1.1307
8/6/2001,1.1347
8/7/2001,1.1393
8/8/2001,1.1358
8/9/2001,1.1207
8/10/2001,1.1193
8/13/2001,1.1154
8/14/2001,1.1072
8/15/2001,1.0941
8/16/2001,1.0971
8/17/2001,1.0891
8/20/2001,1.0936
8/21/2001,1.0891
8/22/2001,1.0936
8/23/2001,1.0928
8/24/2001,1.0939
8/27/2001,1.0971
8/28/2001,1.0954
8/29/2001,1.1002
8/30/2001,1.0916
8/31/2001,1.0961
9/3/2001,1.1019
9/4/2001,1.125
9/5/2001,1.128
9/6/2001,1.1164
9/7/2001,1.1019
9/10/2001,1.1136
9/11/2001,1.0952
9/12/2001,1.103
9/13/2001,1.0977
9/14/2001,1.0861
9/17/2001,1.0814
9/18/2001,1.0786
9/19/2001,1.0791
9/20/2001,1.0779
9/21/2001,1.093
9/24/2001,1.0904
9/25/2001,1.0837
9/26/2001,1.0833
9/27/2001,1.089
9/28/2001,1.0972
10/1/2001,1.0899
10/2/2001,1.0883
10/3/2001,1.0935
10/4/2001,1.0896
10/5/2001,1.089
10/8/2001,1.0864
10/9/2001,1.0951
10/10/2001,1.0977
10/11/2001,1.1083
10/12/2001,1.0971
10/15/2001,1.0999
10/16/2001,1.1008
10/17/2001,1.1067
10/18/2001,1.1073
10/19/2001,1.1121
10/22/2001,1.1211
10/23/2001,1.123
10/24/2001,1.1183
10/25/2001,1.1204
10/26/2001,1.1198
10/29/2001,1.1045
10/30/2001,1.1055
10/31/2001,1.1105
11/1/2001,1.108
11/2/2001,1.1078
11/5/2001,1.114
11/6/2001,1.1177
11/7/2001,1.1141
11/8/2001,1.1206
11/9/2001,1.1187
11/12/2001,1.1191
11/13/2001,1.1351
11/14/2001,1.1334
11/15/2001,1.1342
11/16/2001,1.1308
11/19/2001,1.1375
11/20/2001,1.1321
11/21/2001,1.1382
11/22/2001,1.1391
11/23/2001,1.139
11/26/2001,1.136
11/27/2001,1.132
11/28/2001,1.1265
11/29/2001,1.1268
11/30/2001,1.1156
12/3/2001,1.1222
12/4/2001,1.1228
12/5/2001,1.1257
12/6/2001,1.1169
12/7/2001,1.1233
12/10/2001,1.1227
12/11/2001,1.1204
12/12/2001,1.113
